Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
ADAS_ADNIGO23__Q3SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q4UNABLE,1.629889669,NPA,ADAS-Cog,ADAS-Cognitive Behavior,4.  Delayed Word Recall,,
ADAS_ADNIGO23__Q4SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q5UNABLE,1.429287864,NPA,ADAS-Cog,ADAS-Cognitive Behavior,5. Naming Objects and Fingers,,
ADAS_ADNIGO23__Q5SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q5NAME1,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Flower,,
ADAS_ADNIGO23__Q5NAME2,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Bed,,
ADAS_ADNIGO23__Q5NAME3,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Whistle,,
ADAS_ADNIGO23__Q5NAME4,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Pencil,,
ADAS_ADNIGO23__Q5NAME5,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Rattle,,
ADAS_ADNIGO23__Q5NAME6,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Mask,,
ADAS_ADNIGO23__Q5NAME7,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Scissors,,
ADAS_ADNIGO23__Q5NAME8,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Comb,,
ADAS_ADNIGO23__Q5NAME9,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Wallet,,
ADAS_ADNIGO23__Q5NAME10,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Harmonica,,
ADAS_ADNIGO23__Q5NAME11,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Stethoscope,,
ADAS_ADNIGO23__Q5NAME12,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Tongs,,
ADAS_ADNIGO23__Q5SCORE_CUE,1.379137412,NPA,ADAS-Cog,ADAS-Cognitive Behavior,ADAS Score Component Q5 Naming Objects and Fingers (with cue when necessary),,
ADAS_ADNIGO23__Q6UNABLE,1.429287864,NPA,ADAS-Cog,ADAS-Cognitive Behavior,6. Ideational Praxis,,
ADAS_ADNIGO23__Q6SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q7UNABLE,1.429287864,NPA,ADAS-Cog,ADAS-Cognitive Behavior,7. Orientation,,
ADAS_ADNIGO23__Q7SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q8UNABLE,1.504513541,NPA,ADAS-Cog,ADAS-Cognitive Behavior,8. Word Recognition,,
ADAS_ADNIGO23__Q8WORD1,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 1,,
ADAS_ADNIGO23__Q8WORD1R,7.071213641,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD2,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 2,,
ADAS_ADNIGO23__Q8WORD2R,6.870611836,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD3,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 3,,
ADAS_ADNIGO23__Q8WORD3R,0.225677031,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD4,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 4,,
ADAS_ADNIGO23__Q8WORD4R,0.200601805,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD5,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 5,,
ADAS_ADNIGO23__Q8WORD5R,0.250752257,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD6,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 6,,
ADAS_ADNIGO23__Q8WORD6R,0.200601805,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD7,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 7,,
ADAS_ADNIGO23__Q8WORD7R,0.376128385,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD8,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 8,,
ADAS_ADNIGO23__Q8WORD8R,0.275827482,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD9,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 9,,
ADAS_ADNIGO23__Q8WORD9R,0.300902708,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD10,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 10,,
ADAS_ADNIGO23__Q8WORD10R,0.17552658,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD11,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 11,,
ADAS_ADNIGO23__Q8WORD11R,0.225677031,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD12,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 12,,
ADAS_ADNIGO23__Q8WORD12R,0.300902708,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD13,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 13,,
ADAS_ADNIGO23__Q8WORD13R,0.250752257,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD14,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 14,,
ADAS_ADNIGO23__Q8WORD14R,0.17552658,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD15,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 15,,
ADAS_ADNIGO23__Q8WORD15R,0.150451354,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD16,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 16,,
ADAS_ADNIGO23__Q8WORD16R,0.150451354,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD17,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 17,,
ADAS_ADNIGO23__Q8WORD17R,0.225677031,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD18,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 18,,
ADAS_ADNIGO23__Q8WORD18R,0.275827482,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD19,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 19,,
ADAS_ADNIGO23__Q8WORD19R,0.225677031,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD20,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 20,,
ADAS_ADNIGO23__Q8WORD20R,0.200601805,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD21,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 21,,
ADAS_ADNIGO23__Q8WORD21R,0.125376128,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD22,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 22,,
ADAS_ADNIGO23__Q8WORD22R,0.075225677,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD23,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 23,,
ADAS_ADNIGO23__Q8WORD23R,0.100300903,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8WORD24,36.1334002,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word 24,,
ADAS_ADNIGO23__Q8WORD24R,0.100300903,NPA,ADAS-Cog,ADAS-Cognitive Behavior,<!--Reminder given?-->,,
ADAS_ADNIGO23__Q8SCORE,56.67001003,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q9SCORE,56.67001003,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q10SCORE,56.6449348,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q11SCORE,56.67001003,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q12SCORE,56.67001003,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__TOTSCORE,36.10832497,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Total Score (ADAS 11),,
ADAS_ADNIGO23__Q13UNABLE,13.41524574,NPA,ADAS-Cog,ADAS-Cognitive Behavior,13. Number Cancellation (Time limit: 45 seconds),,
ADAS_ADNIGO23__Q13SCORE,56.46940822,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__ADAS_edited,56.39418255,NPA,ADAS-Cog,-1,-1,1,
ADMCBARCELONAPURINE__L_Glutamine,20.13540622,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,L-Glutamine,,
ADMCBARCELONAPURINE__Taurine,20.13540622,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Taurine,,
ADMCBARCELONAPURINE__Glycine,20.08525577,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Glycine,,
ADMCBARCELONAPURINE__Inosine,20.08525577,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Inosine,,
ADMCBARCELONAPURINE__Hypoxanthine,20.11033099,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Hypoxanthine,,
ADMCBARCELONAPURINE__Xanthine,20.06018054,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Xanthine,,
ADMCBARCELONAPURINE__Xanthosine,20.08525577,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Xanthosine,,
ADMCBARCELONAPURINE__Uric_acid,20.08525577,Blood test,Purine metabolites,AD Metabolomics Consortium Barcelona Purines,Uric acid,,
ADMCDUKEP180FIAADNI2GO__C0,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Carnitine,,
ADMCDUKEP180FIAADNI2GO__C10,22.09127382,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Decanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C10_1,0.150451354,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Decenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C10_2,20.36108325,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Decadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C12,20.18555667,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Dodecanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C12_DC,0.225677031,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Dodecanedioylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C12_1,0.225677031,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Dodecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C14,13.03911735,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Tetradecanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C14_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Tetradecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C14_1_OH,21.61484453,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxytetradecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C14_2,20.73721163,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Tetradecadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C14_2_OH,18.98194584,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxytetradecadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hexadecanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16_OH,18.78134403,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxyhexadecanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16_1,21.99097292,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hexadecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16_1_OH,9.302908726,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxyhexadecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16_2,14.96990973,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hexadecadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C16_2_OH,3.435305918,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxyhexadecadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C18,21.99097292,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Octadecanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C18_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Octadecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C18_1_OH,13.66599799,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxyoctadecenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C18_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Octadecadienylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Acetylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Propionylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C3_DC__C4_OH_,21.33901705,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Malonylcarnitine (Hydroxybutyrylcarnitine),,
ADMCDUKEP180FIAADNI2GO__C3_OH,21.84052156,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxypropionylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C3_1,21.96589769,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Propenylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C4,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Butyrylcarnitine (Isobutyrylcarnitine),,
ADMCDUKEP180FIAADNI2GO__C4_1,21.96589769,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Butenylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C6__C4_1_DC_,22.09127382,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hexanoylcarnitine (Fumarylcarnitine),,
ADMCDUKEP180FIAADNI2GO__C5,22.11634905,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]","Isovalerylcarnitine (Methylbutylcarnitine, Valerylcarnitine)",,
ADMCDUKEP180FIAADNI2GO__C5_M_DC,22.01604814,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Methylglutarylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C5_OH__C3_DC_M_,12.63791374,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hydroxyvalerylcarnitine (Methylmalonylcarnitine),,
ADMCDUKEP180FIAADNI2GO__C5_1,19.38314945,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Tiglylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C5_1_DC,17.65295888,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Glutaconylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C5_DC__C6_OH_,22.01604814,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Glutarylcarnitine (Hydroxyhexanoylcarnitine),,
ADMCDUKEP180FIAADNI2GO__C6_1,20.46138415,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Hexenoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C7_DC,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Pimelylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C8,20.91273821,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Octanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__C9,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",Nonanoylcarnitine,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C14_0,0.225677031,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C14:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C16_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C16:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C16_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C16:1,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C17_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C17:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C18_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C18:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C18_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C18:1,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C18_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C18:2,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C20_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C20:3,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C20_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C20:4,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C24_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C24:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C26_0,22.11634905,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C26:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C26_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C26:1,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C28_0,21.58976931,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C28:0,,
ADMCDUKEP180FIAADNI2GO__lysoPC_a_C28_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",lysoPhosphatidylcholine a C28:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C24_0,22.11634905,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C24:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C26_0,0.17552658,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C26:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C28_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C28:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C30_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C30:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C32_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C32:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C32_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C32:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C32_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C32:3,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C34_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C34:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C34_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C34:2,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C34_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C34:3,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C34_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C34:4,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_0,21.69007021,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:2,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:3,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:4,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:5,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C36_6,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C36:6,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C38_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C38:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C38_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C38:3,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C38_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C38:4,,
